teks_sms,label
"Selamat! Nomor Anda mendapatkan hadiah Rp 50 juta dari Tri. Hubungi wa.me/123",1
"Butuh dana cepat tanpa jaminan? Pinjaman online bunga 0% klik link bit.ly/pinjol",1
"PROMO DEPOSIT slot gacor maxwin hari ini, bonus new member 100%",1
"Info resmi PLN: ID pelanggan Anda menang undian Rp 10jt, klaim di link.com",1
"Dapatkan bonus deposit 100k di situs terpercaya kami hari ini",1
"Transfer uangnya ke rekening BCA 1234567890 an Asep, penting!",1
"PROMO KHUSUS HARI INI! Isi pulsa nomor kamu mulai dari 20rb, langsung dapat kuota internet 1GB. SKB",1
"IYA! Cuma RupiahCepat Limit Pinjaman Sampai 200 Juta! Terbatas 50 Orang Pertama, disini: myads.id/pyJwwPenawaran/info ini bermanfaat? Jika tidak, Kirim STOP RupiahCepat ke 8000",1
"Klaim Saldo Gratis tanpa De'p0 'Maj0ngg' 'Ways3' | Max'w1n | W'D 3min. Daftar=https://xxx",1
"Tanpa Mo dal! Aku kasih 100.000 langsung masuk tanpa rib et Ma in Ma hz Ong di ja m 1n HAP PY WD Gak wd uang kembali Lnk VIP > ln.run/qTEGV",1
"PROMO KHUSUS HARI INI! Isi pulsa nomor kamu mulai dari 20rb, langusng dapat kuota internet 1GB. SKB",0
"Zidan, jangan lupa kerjakan tugas RPL dan persiapkan projek minggu depan ya",0
"Pelanggan yth, Paket Internet akan berakhir pada tanggal xx/xx/xxxx jam xx.xx WIB.",0
"Selamat Paket Internet xGB selama x hari telah aktif.",0
"Paket Anda sedang dibawa oleh kurir menuju ke alamat tujuan",0
"Nanti sore nongkrong di warung kopi depan sekolah tidak?",0
"Kuota internet Anda sisa 1GB. Segera lakukan isi ulang.",0
"Besok ada jam pelajaran Pak Wali tidak?",0
"Halo, apa kabar? Jangan lupa makan siang ya.",0
